;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Desagregación 2;Nacional;Nacional Urbano-Rural;Área;Nacional Urbano;Nacional Rural;Provincial;Azuay;Bolívar;Cañar;Carchi;Cotopaxi;Chimborazo;El Oro;Esmeraldas;Guayas;Imbabura;Loja;Los Ríos;Manabí;Morona Santiago;Napo;Pastaza;Pichincha;Tungurahua;Zamora Chinchipe;Galápagos;Sucumbíos;Orellana;Santo Domingo de los Tsáchilas;Santa Elena;Amazonía;Dominios;Quito;Guayaquil;Cuenca;Machala;Ambato;Resto sierra urbano;Resto costa urbano;Amazonía urbano;Sexo;Hombre;Mujer;Edad;Entre 15 y 24 años;Entre 25 y 34 años;Entre 35 y 44 años;Entre 45 y 64 años;65 años y más ;Etnia;Indígena;Afro ecuatoriano;Mestizo/a;Blanco;Montubio;Otro Cuál?;
dic-07;Población Total;;13.682.302;;9.066.209;4.616.093;;684.900;180.950;227.362;167.022;404.442;446.397;614.085;442.368;3.637.297;402.010;435.881;748.829;1.322.798;-;-;-;2.702.018;506.166;-;-;-;-;-;-;671.223;;1.553.915;2.198.723;364.854;228.584;185.096;1.696.925;2.621.794;216.318;;6.768.646;6.913.656;;2.528.313;1.811.011;1.674.893;2.296.614;998.659;;851.217;464.400;10.148.636;893.544;-;59.558;
dic-07;Población menor de 15 años;;4.372.812;;2.723.124;1.649.688;;220.927;56.703;78.865;51.278;140.403;141.956;190.448;162.346;1.130.168;135.683;146.188;251.867;436.750;-;-;-;783.550;139.020;-;-;-;-;-;-;273.293;;403.827;670.836;100.491;71.730;46.597;516.847;841.112;71.683;;2.226.618;2.146.194;;0;0;0;0;0;;255.187;122.036;2.515.286;201.974;-;14.303;
dic-07;Población en Edad de Trabajar (PET);;9.309.490;;6.343.085;2.966.404;;463.973;124.247;148.497;115.744;264.039;304.440;423.637;280.023;2.507.129;266.328;289.693;496.962;886.048;-;-;-;1.918.468;367.146;-;-;-;-;-;-;397.930;;1.150.089;1.527.887;264.363;156.854;138.499;1.180.078;1.780.681;144.635;;4.542.028;4.767.462;;2.528.313;1.811.011;1.674.893;2.296.614;998.659;;596.030;342.364;7.633.350;691.569;-;45.256;
dic-07;Población Económicamente Activa;;6.336.029;;4.227.702;2.108.328;;324.665;95.751;109.408;76.802;204.137;233.768;289.247;180.570;1.671.419;187.353;198.309;319.238;527.027;-;-;-;1.309.182;284.741;-;-;-;-;-;-;287.422;;774.426;1.034.438;173.654;107.720;94.482;799.281;1.144.539;99.161;;3.777.232;2.558.798;;1.338.389;1.429.751;1.373.455;1.769.769;424.665;;486.878;229.155;5.139.712;450.987;-;28.377;
dic-07;Empleo;;6.019.332;;3.971.040;2.048.292;;311.612;92.755;105.980;73.656;201.157;229.517;277.462;170.510;1.562.246;179.207;189.115;302.423;505.804;-;-;-;1.230.018;274.863;-;-;-;-;-;-;277.315;;727.267;961.578;165.138;103.902;88.299;753.204;1.075.874;95.779;;3.632.314;2.387.018;;1.194.972;1.359.135;1.328.623;1.721.887;414.715;;476.084;213.246;4.877.052;425.147;-;26.882;
dic-07;Empleo Adecuado/Pleno;;2.737.158;;2.236.440;500.719;;145.557;17.221;34.053;26.182;65.604;68.213;130.949;69.387;771.495;71.529;65.573;116.555;177.771;-;-;-;769.667;93.318;-;-;-;-;-;-;103.029;;504.338;542.326;106.878;54.068;49.175;411.000;510.227;58.429;;1.907.451;829.707;;391.723;708.722;700.144;833.931;102.639;;112.049;91.781;2.313.754;210.253;-;9.322;
dic-07;Subempleo;;1.155.872;;687.714;468.158;;48.097;17.787;20.440;16.419;29.326;25.063;61.361;35.143;362.516;33.437;34.072;81.607;135.103;-;-;-;155.619;53.381;-;-;-;-;-;-;36.292;;78.011;188.965;20.956;19.534;13.002;112.987;246.505;7.754;;679.118;476.753;;244.318;262.397;268.902;325.099;55.156;;79.090;51.772;937.613;79.422;-;7.976;
dic-07;Subempleo por insuficiencia de tiempo de trabajo;;860.315;;519.627;340.688;;35.722;11.610;16.182;11.550;20.426;15.771;43.784;26.001;286.878;25.498;26.819;61.090;96.756;-;-;-;114.823;34.437;-;-;-;-;-;-;25.758;;60.769;150.037;18.367;13.442;9.664;82.720;179.324;5.304;;474.355;385.960;;172.674;187.196;202.106;251.829;46.511;;57.392;38.334;699.667;58.483;-;6.439;
dic-07;Subempleo por insuficiencia de ingresos;;295.556;;168.087;127.470;;12.375;6.177;4.257;4.869;8.900;9.292;17.577;9.142;75.638;7.938;7.253;20.517;38.347;-;-;-;40.796;18.944;-;-;-;-;-;-;10.535;;17.242;38.928;2.589;6.091;3.338;30.267;67.181;2.449;;204.763;90.793;;71.644;75.201;66.796;73.270;8.645;;21.697;13.438;237.946;20.939;-;1.537;
dic-07;Empleo no remunerado;;557.146;;215.994;341.152;;32.032;25.578;16.900;5.950;40.432;59.466;19.325;12.956;74.183;18.722;26.864;17.524;32.282;-;-;-;74.358;39.074;-;-;-;-;-;-;59.176;;44.383;41.372;9.129;5.745;5.654;49.016;52.441;8.254;;176.122;381.025;;230.387;92.860;78.306;111.069;44.523;;126.432;8.906;383.548;35.210;-;3.051;
