;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;  ;;;;;Índice ;;;;
;;;;;;;;;;
 Período ;;Incidencia (1);Brecha(1);Severidad  (1);;;;;;
Marzo ;2014;24,6;8,6;4,3;;;;;;
;2015;24,1;8,9;4,7;;;;;;
;2016;25,4;9,9;5,5;;;;;;
;2017;24,4;9,1;4,8;;;;;;
Junio;    2007 (2);-;-;-;;;;;;
;2008;35,0;14,2;8,0;;;;;;
;   2009 (2);-;-;-;;;;;;
;2010;33,0;13,7;7,8;;;;;;
;2011;29,6;11,4;6,2;;;;;;
;2012;25,3;9,4;4,9;;;;;;
;2013;23,7;8,4;4,4;;;;;;
;2014;24,5;8,5;4,2;;;;;;
;2015;22,0;7,7;3,9;;;;;;
;2016;23,7;8,6;4,6;;;;;;
;2017;23,1;8,3;4,4;;;;;;
Septiembre ;2014;24,8;8,7;4,4;;;;;;
;2015;22,4;7,7;3,9;;;;;;
;2016;22,6;8,1;4,2;;;;;;
Diciembre;2007;36,7;15,3;8,7;;;;;;
;2008;35,1;14,5;8,1;;;;;;
;2009;36,0;14,5;8,0;;;;;;
;2010;32,8;12,7;6,8;;;;;;
;2011;28,6;10,8;5,7;;;;;;
;2012;27,3;10,5;5,8;;;;;;
;2013;25,6;9,0;4,5;;;;;;
;2014;22,5;7,9;4,0;;;;;;
;2015;23,3;8,5;4,5;;;;;;
;2016;22,9;8,6;4,7;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Fuente: Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU.;;;;;;;;;;
Notas:  (1) Los datos se encuentran expresados en porcentajes.;;;;;;;;;;
            (2) La información en junio 2007 y junio 2009 solo fue representativa a nivel urbano.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
