;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;Índice 
;;;;;;;
 Característica ;;Junio 2017;;;;;
;;Nacional ;;Urbano ;;Rural ;
;;Incidencia          (%);Ingreso promedio         (USD);Incidencia          (%);Ingreso promedio         (USD);Incidencia          (%);Ingreso promedio         (USD)
Sexo del jefe de hogar;Hombre ;18,7;55,1;10,7;60,2;34,6;51,9
;Mujer;17,9;57,8;12,7;59,9;35,8;55,2
Etnia del jefe del hogar;Indígena;49,4;44,2;25,0;48,5;57,0;43,6
;Afroecuatoriano/a;21,7;54,7;14,9;59,1;42,0;50,1
;Montubio/a;23,5;58,3;18,2;63,3;27,6;55,8
;Mestizo/a;15,7;58,6;10,6;60,8;30,5;56,4
;Blanco/a;14,3;55,1;11,8;59,8;21,7;47,6
;Otro/a, cual;31,6;48,9;32,4;47,4;23,6;68,5
Escolaridad del jefe de hogar;Ninguno;31,2;56,6;12,1;61,4;43,8;55,7
;Centro de alfabetización;24,8;40,6;14,9;49,2;29,8;38,4
;Educación básica;25,3;55,4;17,6;60,3;36,4;52,0
;Educación  media;12,6;57,4;9,2;59,9;30,4;53,5
;Superior ;2,3;56,5;2,0;58,5;5,4;48,4
Categoría de ocupación del jefe de hogar;Empleado de gobierno;1,9;64,6;1,7;63,6;2,7;67,8
;Empleado privado;6,8;63,0;6,1;63,2;10,5;62,6
;Empleado terciarizado;.;.;.;.;.;.
;Jornalero o peón;35,5;60,3;31,8;61,0;37,8;60,0
;Patrono;7,0;46,1;3,4;64,2;20,0;35,1
;Cuenta propia;27,1;52,2;16,2;58,4;44,2;48,6
;Trab. del hogar no remunerado;18,0;50,8;13,1;58,9;27,5;43,2
;Trab. no del hogar no remunerado;24,5;49,3;9,9;51,0;57,4;48,7
;Empleado doméstico;16,0;57,6;10,1;60,8;45,3;54,1
Total;;18,5;55,8;11,3;60,1;34,9;52,6
;;;;;;;
Fuente: Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU;;;;;;;
Notas: (1) Valores de ingreso expresados en dólares corrientes;;;;;;;
