PROVINCIA,CAUSA,MES,CLASE,ZONA,CANTON,NUM_FALLECIDO,NUM_LESIONADO,TOTAL_VICTIMAS
TUNGURAHUA,EXCESO VELOCIDAD,Enero,PÉRDIDA DE PISTA,URBANA,AMBATO,0,2,2
TUNGURAHUA,EMBRIAGUEZ O DROGA,Enero,ATROPELLOS,URBANA,AMBATO,0,1,1
TUNGURAHUA,EMBRIAGUEZ O DROGA,Enero,CHOQUES,URBANA,AMBATO,0,1,1
TUNGURAHUA,OTRAS CAUSAS,Enero,PÉRDIDA DE PISTA,URBANA,AMBATO,0,1,1
TUNGURAHUA,EMBRIAGUEZ O DROGA,Enero,ATROPELLOS,URBANA,AMBATO,0,1,1
TUNGURAHUA,MAL ESTADO DE LA VÍA,Enero,ESTRELLAMIENTOS,URBANA,AMBATO,0,2,2
TUNGURAHUA,IMPERIC. E IMPRUD. CONDUCTOR,Enero,CHOQUES,URBANA,AMBATO,0,0,0
TUNGURAHUA,NO RESP. SEÑALES DE TRÁNSITO,Enero,CHOQUES,URBANA,AMBATO,0,0,0
TUNGURAHUA,EMBRIAGUEZ O DROGA,Enero,CHOQUES,URBANA,AMBATO,0,0,0
TUNGURAHUA,EXCESO VELOCIDAD,Enero,VOLCAMIENTOS,URBANA,AMBATO,0,0,0
TUNGURAHUA,EMBRIAGUEZ O DROGA,Enero,CHOQUES,URBANA,AMBATO,0,0,0
TUNGURAHUA,NO RESP. SEÑALES DE TRÁNSITO,Enero,CHOQUES,URBANA,AMBATO,0,0,0
TUNGURAHUA,NO RESP. SEÑALES DE TRÁNSITO,Enero,CHOQUES,URBANA,AMBATO,0,1,1
TUNGURAHUA,EMBRIAGUEZ O DROGA,Enero,ESTRELLAMIENTOS,URBANA,AMBATO,0,0,0
TUNGURAHUA,EMBRIAGUEZ O DROGA,Enero,VOLCAMIENTOS,URBANA,AMBATO,1,5,6
TUNGURAHUA,IMPERIC. E IMPRUD. CONDUCTOR,Enero,PÉRDIDA DE PISTA,URBANA,AMBATO,0,0,0
TUNGURAHUA,FACTORES CLIMÁTICOS,Enero,VOLCAMIENTOS,RURAL,AMBATO,0,0,0
TUNGURAHUA,EMBRIAGUEZ O DROGA,Enero,CHOQUES,URBANA,AMBATO,0,0,0
TUNGURAHUA,NO RESP. SEÑALES DE TRÁNSITO,Enero,ROZAMIENTOS,URBANA,AMBATO,0,0,0
TUNGURAHUA,EMBRIAGUEZ O DROGA,Enero,ATROPELLOS,RURAL,AMBATO,0,1,1
TUNGURAHUA,IMPRUDENCIA  DEL PEATÓN,Enero,ATROPELLOS,URBANA,AMBATO,0,1,1
TUNGURAHUA,IMPERIC. E IMPRUD. CONDUCTOR,Enero,CHOQUES,URBANA,AMBATO,0,1,1
TUNGURAHUA,MAL REBASA. INVADIR CARRIL,Enero,CHOQUES,URBANA,AMBATO,0,1,1
TUNGURAHUA,NO RESP. SEÑALES DE TRÁNSITO,Enero,CHOQUES,RURAL,AMBATO,0,1,1
TUNGURAHUA,NO RESP. SEÑALES DE TRÁNSITO,Enero,CHOQUES,URBANA,AMBATO,0,1,1
TUNGURAHUA,MAL REBASA. INVADIR CARRIL,Enero,CHOQUES,RURAL,AMBATO,0,0,0
TUNGURAHUA,IMPERIC. E IMPRUD. CONDUCTOR,Enero,OTROS,URBANA,AMBATO,0,0,0
TUNGURAHUA,NO RESP. SEÑALES DE TRÁNSITO,Enero,CHOQUES,URBANA,AMBATO,0,0,0
TUNGURAHUA,IMPERIC. E IMPRUD. CONDUCTOR,Enero,ROZAMIENTOS,URBANA,AMBATO,0,0,0
TUNGURAHUA,MAL ESTADO DE LA VÍA,Enero,CHOQUES,URBANA,AMBATO,0,0,0
TUNGURAHUA,MAL ESTADO DE LA VÍA,Enero,ESTRELLAMIENTOS,URBANA,AMBATO,0,1,1
TUNGURAHUA,NO RESP. SEÑALES DE TRÁNSITO,Enero,CHOQUES,URBANA,AMBATO,0,0,0
TUNGURAHUA,NO RESP. SEÑALES DE TRÁNSITO,Enero,CHOQUES,URBANA,AMBATO,0,0,0
TUNGURAHUA,IMPERIC. E IMPRUD. CONDUCTOR,Enero,ROZAMIENTOS,URBANA,AMBATO,0,0,0
TUNGURAHUA,EXCESO VELOCIDAD,Enero,ROZAMIENTOS,URBANA,AMBATO,0,0,0
TUNGURAHUA,EXCESO VELOCIDAD,Enero,CHOQUES,RURAL,AMBATO,0,0,0
TUNGURAHUA,NO RESP. SEÑALES DE TRÁNSITO,Enero,CHOQUES,URBANA,AMBATO,0,0,0
TUNGURAHUA,IMPERIC. E IMPRUD. CONDUCTOR,Enero,ESTRELLAMIENTOS,URBANA,AMBATO,0,0,0
TUNGURAHUA,EMBRIAGUEZ O DROGA,Enero,OTROS,URBANA,AMBATO,0,1,1
TUNGURAHUA,DAÑOS MECÁNICOS,Enero,CHOQUES,RURAL,AMBATO,0,0,0
TUNGURAHUA,IMPERIC. E IMPRUD. CONDUCTOR,Enero,CHOQUES,URBANA,AMBATO,0,0,0
TUNGURAHUA,EMBRIAGUEZ O DROGA,Enero,VOLCAMIENTOS,URBANA,AMBATO,0,0,0
TUNGURAHUA,IMPERIC. E IMPRUD. CONDUCTOR,Enero,CHOQUES,URBANA,AMBATO,0,1,1
TUNGURAHUA,EMBRIAGUEZ O DROGA,Enero,CHOQUES,URBANA,AMBATO,0,0,0
TUNGURAHUA,EXCESO VELOCIDAD,Enero,CHOQUES,RURAL,AMBATO,0,3,3
TUNGURAHUA,OTRAS CAUSAS,Enero,CAÍDA PASAJEROS,RURAL,AMBATO,0,1,1
TUNGURAHUA,IMPERIC. E IMPRUD. CONDUCTOR,Enero,CHOQUES,URBANA,AMBATO,0,0,0
AZUAY,IMPERIC. E IMPRUD. CONDUCTOR,Enero,CHOQUES,URBANA,CUENCA,0,0,0
AZUAY,IMPERIC. E IMPRUD. CONDUCTOR,Enero,ROZAMIENTOS,URBANA,CUENCA,0,1,1
AZUAY,IMPERIC. E IMPRUD. CONDUCTOR,Enero,PÉRDIDA DE PISTA,URBANA,CUENCA,0,1,1
AZUAY,EMBRIAGUEZ O DROGA,Enero,ATROPELLOS,RURAL,CUENCA,0,1,1
AZUAY,IMPERIC. E IMPRUD. CONDUCTOR,Enero,ROZAMIENTOS,URBANA,CUENCA,0,0,0
AZUAY,IMPERIC. E IMPRUD. CONDUCTOR,Enero,ATROPELLOS,URBANA,CUENCA,0,1,1
AZUAY,OTRAS CAUSAS,Enero,OTROS,URBANA,CUENCA,0,0,0
AZUAY,EMBRIAGUEZ O DROGA,Enero,ESTRELLAMIENTOS,URBANA,CUENCA,0,0,0
AZUAY,EXCESO VELOCIDAD,Enero,ESTRELLAMIENTOS,URBANA,CUENCA,0,0,0
AZUAY,EXCESO VELOCIDAD,Enero,PÉRDIDA DE PISTA,RURAL,CUENCA,0,2,2
AZUAY,IMPERIC. E IMPRUD. CONDUCTOR,Enero,ROZAMIENTOS,URBANA,CUENCA,0,0,0
AZUAY,IMPERIC. E IMPRUD. CONDUCTOR,Enero,ATROPELLOS,RURAL,CUENCA,1,0,1
AZUAY,MAL REBASA. INVADIR CARRIL,Enero,CHOQUES,RURAL,CUENCA,0,0,0
